Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00     1418     0.00     0.00  std::_Hashtable<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::allocator<std::pair<int const, pxr::gfx::SpriteSheet> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::find(int const&)
  0.00      0.05     0.00     1418     0.00     0.00  int const& std::__pair_get<0ul>::__get<int const, pxr::gfx::SpriteSheet>(std::pair<int const, pxr::gfx::SpriteSheet>&)
  0.00      0.05     0.00     1418     0.00     0.00  std::unordered_map<int, pxr::gfx::SpriteSheet, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, pxr::gfx::SpriteSheet> > >::end()
  0.00      0.05     0.00     1418     0.00     0.00  std::unordered_map<int, pxr::gfx::SpriteSheet, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, pxr::gfx::SpriteSheet> > >::find(int const&)
  0.00      0.05     0.00     1418     0.00     0.00  bool std::__detail::operator!=<std::pair<int const, pxr::gfx::SpriteSheet>, false>(std::__detail::_Node_iterator_base<std::pair<int const, pxr::gfx::SpriteSheet>, false> const&, std::__detail::_Node_iterator_base<std::pair<int const, pxr::gfx::SpriteSheet>, false> const&)
  0.00      0.05     0.00     1418     0.00     0.00  std::tuple_element<0ul, std::pair<int const, pxr::gfx::SpriteSheet> >::type& std::get<0ul, int const, pxr::gfx::SpriteSheet>(std::pair<int const, pxr::gfx::SpriteSheet>&)
  0.00      0.05     0.00     1418     0.00     0.00  std::pair<int const, pxr::gfx::SpriteSheet>& std::forward<std::pair<int const, pxr::gfx::SpriteSheet>&>(std::remove_reference<std::pair<int const, pxr::gfx::SpriteSheet>&>::type&)
  0.00      0.05     0.00     1416     0.00     0.00  pxr::gfx::drawSprite(pxr::Vector2i, int, int, pxr::gfx::Layer)
  0.00      0.05     0.00     1416     0.00     0.00  pxr::Engine::durationToSeconds(std::chrono::duration<long, std::ratio<1l, 1000000000l> >)
  0.00      0.05     0.00     1416     0.00     0.00  pxr::gfx::SpriteSheet::getSprite(int) const
  0.00      0.05     0.00     1416     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, pxr::gfx::SpriteSheet>, false, false>::operator*() const
  0.00      0.05     0.00     1416     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.05     0.00     1416     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, pxr::gfx::SpriteSheet>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node<std::pair<int const, pxr::gfx::SpriteSheet>, false>*) const
